Date,dist_200dma,tsmom_12m,valuation_proxy,yc_10y3m,mfg_emp_yoy
1995-09-30,0.18953566504759922,0.4855402006419345,1.1792295946052205,0.77,0.7771415215612976
1995-10-31,0.17085267363692713,0.4496551192176743,1.1972957423749597,0.55,0.41997200186654204
1995-11-30,0.11982607530732703,0.466627044022597,1.148008312868141,0.28,0.1280111718841015
1995-12-31,0.05758622749434261,0.42535928000646783,1.0571976609281104,0.48,0.07550238122895347
1996-01-31,0.06191045809067908,0.46009431063572226,1.0843983360794862,0.55,-0.31282586027111536
1996-02-29,0.0875347641919253,0.4400694036759394,1.162991005622994,1.11,-0.20850225877446782
1996-03-31,0.04302225429724138,0.36350220454783244,1.0894911162734275,1.21,-0.40549151364189795
1996-04-30,0.1243956748588162,0.4199037054589654,1.2520559322681462,1.52,-0.4282903113786318
1996-05-31,0.14394268776866848,0.4185412947968623,1.3044012899217905,1.67,-0.20859891065013736
1996-06-30,0.10242338391872141,0.258851645656468,1.2224539996425174,1.55,-0.12176030614019506
1996-07-31,0.024180768306417244,0.1180038045046794,1.05930169512393,1.48,0.02323150191660961
1996-08-31,0.055099406988445176,0.150493237952126,1.1192668653806828,1.67,0.09280742459396585
1996-09-30,0.15059994944732358,0.2606310005131467,1.3185740807594235,1.58,0.02319243926480752
1996-10-31,0.13461827409837768,0.2558701917921491,1.3268729853297834,1.2,0.30204460966543056
1996-11-30,0.22114852818872577,0.4047194821119653,1.5358060088354706,0.93,0.40097629009763214
1996-12-31,0.1638835112189707,0.42540307375781605,1.4550472190039194,1.22,0.3075851662700968
1997-01-31,0.2535465175089713,0.557145713879377,1.7036789572523174,1.38,0.5172013017201271
1997-02-28,0.12479126759580494,0.3654769337329107,1.4550349752464733,1.34,0.49332559489263517
1997-03-31,0.03455181435533583,0.30732010426100853,1.26755434231046,1.57,0.8549991275519142
1997-04-30,0.11039106942406618,0.31198538517704244,1.4484982837875622,1.44,0.8544524529179309
1997-05-31,0.17253935222066374,0.3848408487993513,1.6365714934472178,1.71,0.8245267680873303
1997-06-30,0.12904913703198329,0.41340617901441323,1.5867831104314996,1.26,0.934633693254372
1997-07-31,0.2560023303239891,0.7405858591829786,1.9312677481170497,0.77,0.9638834049471523
1997-08-31,0.1705746382528024,0.6185934219045357,1.7907080674558236,1.1,1.1416318961520622
1997-09-30,0.15818754174699579,0.4875334182310389,1.7967589546662333,1.06,1.2405077966494593
1997-10-31,0.04510348491118599,0.35589570121724545,1.5519642714648785,0.63,1.4246004169562232
1997-11-30,0.06295385168707224,0.2595892105189974,1.5801246503534792,0.64,1.614863691613122
1997-12-31,-0.013429254617641329,0.2063285706154092,1.392675885917709,0.39,1.7530664198102341
1998-01-31,0.04534500275516895,0.1623135142653247,1.5399707384302088,0.34,1.8615944961553943
1998-02-28,0.13604920597763281,0.4040989276756455,1.7756135236402484,0.3,1.8019058619693995
1998-03-31,0.13375488733244278,0.5314531376792044,1.780861380076587,0.51,1.7128027681660996
1998-04-30,0.13267195124680597,0.42684684483530955,1.7866953835002328,0.68,1.6483199815572558
1998-05-31,0.06858261495599005,0.24322884355355812,1.6120420821147916,0.53,1.4973508408200775
1998-06-30,0.18330694722077534,0.39699152081210864,1.870173160926591,0.34,1.2653131650083305
1998-07-31,0.18594205935711372,0.24410356839225522,1.8939414304381894,0.4,0.20128824476650653
1998-08-31,-0.04377170387620155,0.061719579142997194,1.3561260290114614,0.09,0.6302641379705598
1998-09-30,0.10283355216705181,0.22632974092491764,1.7252600817200876,0.07,0.5267678213570104
1998-10-31,0.11771383219241582,0.3735705716228963,1.7792424370102236,0.31,-0.011419435879866935
1998-11-30,0.20299411406316414,0.48305103849994735,2.0222622784712887,0.17,-0.5126452494873535
1998-12-31,0.3549706885897961,0.8530020064976942,2.4686444330070416,0.17,-0.784670495252171
1999-01-31,0.4883980715403968,0.9859306822788296,2.899602199652721,0.18,-1.089732674953181
1999-02-28,0.28344969091675765,0.6122867873886269,2.4379916096007808,0.63,-1.3161627049412816
1999-03-31,0.32136439946650275,0.7256155142276521,2.6568906601157325,0.76,-1.525202698871686
1999-04-30,0.27083105775487537,0.7116862969393714,2.60792339833039,0.81,-1.6669501615921067
1999-05-31,0.19133704971260745,0.7530011201751647,2.4383373573664655,0.98,-1.6511575124829814
