date,freq_008_vol_disagreement_score,freq_008_vol_disagreement_score_pct,freq_008_vol_disagreement_rank_change_20d,freq_008_vol_disagreement_flag,freq_007_vol_term_daily_stress_count,freq_007_vol_term_stress_persistence_5d,freq_007_vol_term_stress_persistence_20d,freq_007_vol_term_persistent_stress_flag,freq_010_safe_haven_confirmation_score,freq_010_rates_led_stress_flag,freq_010_riskoff_confirmation_flag,freq_010_safe_haven_rotation_state,freq_003_quiet_state,freq_003_false_calm_internal_deterioration_count,freq_003_false_calm_missing_component_count,freq_003_false_calm_confirmed_flag,freq_003_false_calm_possible_flag,freq_003_false_calm_unknown_due_to_missing_flag,freq_004_repair_episode_active,freq_004_repair_failure_pressure_count,freq_004_repair_episode_quality_score,freq_004_repair_relapse_flag
1999-03-10,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-11,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-12,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-15,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-16,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-17,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-18,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-19,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-22,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-23,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-24,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-25,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-26,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-29,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-30,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-03-31,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
1999-04-01,,,,,,,,,,,,,1.0,0.0,5.0,,1.0,1.0,,,,
